x,y,labels,dist_from_origin,dist_from_TAC-1,name
0.025573162,-0.11930303,TAC-1,0.245247945189476,0.2044409066438675,RNA PCA
0.031782497,-0.075477645,TAC-1,0.16416054964065552,0.14591148495674133,RNA PCA
-0.047609333,0.0039579184,TAC-1,0.0956195592880249,0.08376065641641617,RNA PCA
-0.0719065,0.0025768727,TAC-1,0.14415471255779266,0.1144900918006897,RNA PCA
0.034971714,-0.01065065,TAC-1,0.07314762473106384,0.13072066009044647,RNA PCA
0.0068342984,-0.016215349,TAC-1,0.03519810736179352,0.07432197034358978,RNA PCA
-0.08415763,-0.057339616,TAC-1,0.20437851548194885,0.1261548548936844,RNA PCA
0.04253785,-0.032724563,TAC-1,0.10744118690490723,0.13862361013889313,RNA PCA
-0.04394822,0.0008284859,TAC-1,0.08796951174736023,0.07471964508295059,RNA PCA
-0.11463854,-0.06448743,TAC-1,0.264596551656723,0.18892717361450195,RNA PCA
-0.053549293,-0.053886928,TAC-1,0.15223202109336853,0.06929075717926025,RNA PCA
0.077812865,0.008110472,TAC-1,0.15678910911083221,0.2244071364402771,RNA PCA
-0.009608131,-0.022740122,TAC-1,0.049383264034986496,0.03908151388168335,RNA PCA
-0.07379336,-0.010616023,TAC-1,0.1493835598230362,0.10402350127696991,RNA PCA
-0.08705632,-0.044742785,TAC-1,0.19639137387275696,0.12396921217441559,RNA PCA
-0.05821907,-0.039243426,TAC-1,0.14065207540988922,0.06485100090503693,RNA PCA
-0.11540054,-0.0643155,TAC-1,0.2657787799835205,0.1902627944946289,RNA PCA
0.032542944,0.034902066,TAC-1,0.09551229327917099,0.1791422963142395,RNA PCA
-0.009411608,-0.023089519,TAC-1,0.04987841844558716,0.03909366577863693,RNA PCA
0.06362865,0.03660438,TAC-1,0.1470775604248047,0.2274010181427002,RNA PCA
-0.0047973935,-0.017732056,TAC-1,0.03674275428056717,0.05252223089337349,RNA PCA
0.010242784,0.023081042,TAC-1,0.050515007227659225,0.13304691016674042,RNA PCA
0.024296694,-0.008407217,TAC-1,0.05143137276172638,0.11258772015571594,RNA PCA
0.032813907,-0.03771477,TAC-1,0.10006681084632874,0.11965028196573257,RNA PCA
-0.082698844,-0.10294708,TAC-1,0.2656511962413788,0.1819564551115036,RNA PCA
-0.04819501,-0.00843819,TAC-1,0.0979338064789772,0.06429032981395721,RNA PCA
